MESEMBRYANTHEMUM NODIFLORUM,not found
ERYNGIUM CRETICUM,not found
PITURANTHOS TORTUOSUS,not found
FOENICULUM VULGARE,found
ANCHUSA STRIGOSA,not found
CAPPARIS AEGYPTIA,not found
PTERANTHUS DICHOTOMUS,not found
GYPSOPHILA ARABICA,not found
PARONYCHIA ARGENTEA,not found
GYMNOCARPOS DECANDER,not found
ANABASIS ARTICULATA,not found
HAMMADA SCOPARIA,not found
ATRIPLEX HALIMUS,not found
HELIANTHEMUM VENTOSUM,not found
PULICARIA CRISPA,not found
ARTEMISIA SIEBERI,not found
CENTAUREA PALLESCENS,not found
ACHILLEA FRAGRANTISSIMA,not found
GUNDELIA TOURNEFORTII,not found
ECHINOPS POLYCERAS,not found
CENTAUREA ERYNGIOIDES,not found
PHAGNALON RUPESTRE,not found
MORICANDIA NITENS,not found
EPHEDRA APHYLLA,not found
MERCURIALIS ANNUA,not found
JUNCUS ARABICUS,not found
TEUCRIUM CAPITATUM,not found
BALLOTA UNDULATA,not found
PHLOMIS BRACHYODON,not found
SALVIA SPINOSA,not found
STACHYS AEGYPTIACA,not found
URGINEA MARITIMA,not found
ASPHODELUS TENUIFOLIUS,not found
ASPARAGUS APHYLLUS,not found
ALCEA ACAULIS,not found
GLAUCIUM ARABICUM,not found
COLUTEA ISTRIA,not found
RETAMA RAETAM,not found
OCHRADENUS BACCATUS,not found
CAYLUSEA HEXAGYNA,not found
POPULUS EUPHRATICA,not found
KICKXIA AEGYPTIACA,not found
VERBASCUM FRUTICULOSUM,not found
HYOSCYAMUS RETICULATUS,not found
SOLANUM ELAEAGNIFOLIUM,not found
LYCIUM SHAWII,not found
NICOTIANA GLAUCA,not found
TAMARIX ZIN/CHAVAR,not found
THYMELAEA HIRSUTA,not found
ZYGOPHYLLUM DUMOSUM,not found
PEGANUM HARMALA,not found
FAGONIA MOLLIS,not found
CUMINUM CYMINUM,found
PIMPINELLA ANISUM,found
FOENICULUM VULGARE,found
CORIANDRUM SATIVUM,found
ANETHUM GRAVEOLEUS,not found
SINAPIS ARVENSIS,not found
NIGELLA SATIVA,found
NICOTIANA RUSTICA,not found
CORCHORUS OLITORIUS,found
FERULA ASAFOETIDA,not found
PEGANUM HARMALA,not found
