Mesembryanthemum nodiflorum
Eryngium creticum
Pituranthos tortuosus
Foeniculum vulgare
Anchusa strigosa
Capparis aegyptia
Pteranthus dichotomus
Gypsophila arabica
Paronychia argentea
Gymnocarpos decander
Anabasis articulata
Hammada scoparia
Atriplex halimus
Helianthemum ventosum
Pulicaria crispa
Artemisia sieberi
Centaurea pallescens
Achillea fragrantissima
Gundelia tournefortii
Echinops polyceras
Centaurea eryngioides
Phagnalon rupestre
Moricandia nitens
Ephedra aphylla
Mercurialis annua
Juncus arabicus
Teucrium capitatum
Ballota undulata
Phlomis brachyodon
Salvia spinosa
Stachys aegyptiaca
Urginea maritima
Asphodelus tenuifolius
Asparagus aphyllus
Alcea acaulis
Glaucium arabicum
Colutea istria
Retama raetam
Ochradenus baccatus
Caylusea hexagyna
Populus euphratica
Kickxia aegyptiaca
Verbascum fruticulosum
Hyoscyamus reticulatus
Solanum elaeagnifolium
Lycium shawii
Nicotiana glauca
Tamarix Zin/Chavar
Thymelaea hirsuta
Zygophyllum dumosum
Peganum harmala
Fagonia mollis
Cuminum cyminum
Pimpinella anisum
Foeniculum vulgare
Coriandrum sativum
Anethum graveoleus
Sinapis arvensis
Nigella sativa
Nicotiana rustica
Corchorus olitorius
Ferula asafoetida
Peganum harmala
